timestamp,cpu,memory,latency,rps,replicas,delta_rps
2026-05-17 01:48:03,0.003367,160583680,0.002053,0.222222,1,0.0
2026-05-17 01:48:18,0.00278,160604160,0.004334,0.4,1,0.177778
2026-05-17 01:48:33,0.002037,160649216,0.002665,1.555556,1,1.155556
2026-05-17 01:48:48,0.006834,160915456,0.002671,2.444444,1,0.888889
2026-05-17 01:49:03,0.012348,160841728,0.002707,3.244444,1,0.8
2026-05-17 01:49:18,0.010403,161161216,0.00279,3.177778,1,-0.066667
2026-05-17 01:49:33,0.007244,161161216,0.002782,3.2,1,0.022222
2026-05-17 01:49:48,0.013326,161099776,0.002688,3.044444,1,-0.155556
2026-05-17 01:50:03,0.010681,161099776,0.002746,2.866667,1,-0.177778
2026-05-17 01:50:18,0.01253,161300480,0.003076,2.933333,1,0.066667
2026-05-17 01:50:33,0.011917,161398784,0.003274,3.066667,1,0.133333
2026-05-17 01:50:48,0.010521,161427456,0.003256,3.133333,1,0.066667
2026-05-17 01:51:03,0.013034,161583104,0.003373,3.133333,1,0.0
2026-05-17 01:51:18,0.013534,161677312,0.003312,3.133333,1,0.0
2026-05-17 01:51:33,0.011286,161677312,0.003294,3.177778,1,0.044444
2026-05-17 01:51:48,0.012527,161820672,0.002913,3.111111,1,-0.066667
2026-05-17 01:52:03,0.010618,161828864,0.002791,3.177778,1,0.066667
2026-05-17 01:52:18,0.008684,161853440,0.002794,3.133333,1,-0.044444
2026-05-17 01:52:33,0.007837,161914880,0.002936,3.022222,1,-0.111111
2026-05-17 01:52:48,0.007372,161972224,0.002857,2.955556,1,-0.066667
2026-05-17 01:53:03,0.007515,162054144,0.003163,3.044444,1,0.088889
2026-05-17 01:53:18,0.007758,162156544,0.002777,4.266667,1,1.222222
2026-05-17 01:53:33,0.011089,162275328,0.004093,13.088889,1,8.822222
2026-05-17 01:53:48,0.073466,171429888,0.007485,27.133333,1,14.044444
2026-05-17 01:54:03,0.08334,171429888,0.006786,43.155556,1,16.022222
2026-05-17 01:54:18,0.147111,170115072,0.008265,52.333333,2,9.177778
2026-05-17 01:54:33,0.262105,247980032,0.074351,59.6,2,7.266667
